boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.2_41t  10.2_41  10.2  t  41  0.216101  0.374297  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_41b  10.2_41  10.2  b  41  0.216101  0.374297  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_42t  10.2_42  10.2  t  42  0.172880  0.299438  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_42b  10.2_42  10.2  b  42  0.172880  0.299438  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_43t  10.2_43  10.2  t  43  0.129660  0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_43b  10.2_43  10.2  b  43  0.129660  0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_44t  10.2_44  10.2  t  44  0.086440  0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_44b  10.2_44  10.2  b  44  0.086440  0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_45t  10.2_45  10.2  t  45  0.043220  0.074859  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_45b  10.2_45  10.2  b  45  0.043220  0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_46t  10.2_46  10.2  t  46  0.000000  -0.000000  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_46b  10.2_46  10.2  b  46  0.000000  -0.000000  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_47t  10.2_47  10.2  t  47  -0.043220  -0.074859  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_47b  10.2_47  10.2  b  47  -0.043220  -0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_48t  10.2_48  10.2  t  48  -0.086440  -0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_48b  10.2_48  10.2  b  48  -0.086440  -0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_49t  10.2_49  10.2  t  49  -0.129660  -0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_49b  10.2_49  10.2  b  49  -0.129660  -0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_50t  10.2_50  10.2  t  50  -0.172880  -0.299438  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_50b  10.2_50  10.2  b  50  -0.172880  -0.299438  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_51t  10.2_51  10.2  t  51  -0.216101  -0.374297  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_51b  10.2_51  10.2  b  51  -0.216101  -0.374297  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_52t  10.2_52  10.2  t  52  0.259321  0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_52b  10.2_52  10.2  b  52  0.259321  0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_53t  10.2_53  10.2  t  53  0.216101  0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
